individu,traitement,TreatLarve,TreatAdult,lipides,glucose,glycogene,sumLGly,sumenergie,SsumLGly,Ssumenergie,poids,volume,SLipides,SGlucose,SGlycogene,OLSresidue,MSL,VSL,DSL,longueur.1,epaisseur.1,largeur.1,longueur.2,epaisseur.2,largeur.2,moyLong,moyepaiss,moylargeur
S44NlNa,NlNa,N,N,0.452,0.153,0.674,0.827,1.279,0.612911621,0.990411494,114.7,45.52419937,0.350138063,0.103235639,0.508639349,-0.104741267202011,102.083717735413,39.0116926921221,2.78972052558073,10.04,2.23,4.52,9.84,1.53,4.79,9.94,1.88,4.655
1SNlPNa,NlPNa,N,PN,0.497533,0.280633,0.710033667,0.991,1.488,2.973552863,3.801230026,84.6,50.6367547,1.269322014,1.188000399,1.993704774,-0.085951287713788,112.452592035244,73.8275375553538,1.3027364897832,8.55,2.42,4.56,8.81,2.59,4.34,8.68,2.505,4.45
2SNlPNa,NlPNa,N,PN,0.516299667,0.460133,0.997800333,1.458,1.974,1.074970809,1.52184013,109.2,70.0002867,0.398182518,0.308363257,0.749335975,-0.155079252598853,97.0441523796547,59.8681720433434,1.7295273052413,10,2.62,5.11,9.89,2.67,5.06,9.945,2.645,5.085
3SNlPNa,NlPNa,N,PN,0.755933,0.351266333,0.733700333,1.085,1.841,1.53702088,2.478306276,86.2,47.43251658,1.017193131,0.554961928,1.017733717,-0.240668522143115,92.3862712878013,51.9942033051229,1.71048045470157,9.36,2.33,4.48,9.31,1.99,4.51,9.335,2.16,4.495
4SNlPNa,NlPNa,N,PN,0.659599667,0.121399667,0.549233667,0.671,1.33,0.776331436,1.50627102,87.3,42.97501026,0.746889056,0.147020391,0.629879362,-0.274777132538918,88.2862618305885,43.6194181492785,2.0115611021079,9.56,1.6,4.9,9.48,1.91,4.93,9.52,1.755,4.915
5SNlPNa,NlPNa,N,PN,2.471966333,1.240833,1.507000333,2.748,5.22,0.970921557,2.1478485,147,85.9046067,1.018395849,0.316483793,0.566981262,-0.027832454326465,105.784974332784,55.5522441287772,2.28147361779353,10.76,2.98,5.2,10.6,2.96,5.15,10.68,2.97,5.175
6SNlPNa,NlPNa,N,PN,0.754233,0.370533,0.900600333,1.271,2.025,1.161736991,1.875443243,94.2,55.83609623,0.698604154,0.329276866,0.827660087,-0.253178865896945,89.0363320530801,51.8176185199117,1.77230709791303,9.7,2.33,4.79,9.78,2.22,4.84,9.74,2.275,4.815
8SNlPNa,NlPNa,N,PN,1.301766333,0.832899667,1.442000333,2.275,3.577,0.856053703,1.553097996,141.7,71.04523965,0.565875819,0.230754754,0.575600293,-0.049997608982709,103.829902102582,47.0559969131914,2.6175239622534,10.68,2.52,5.06,10.55,2.52,5.09,10.615,2.52,5.075
9SNlPNa,NlPNa,N,PN,2.078933,1.083399667,1.526033667,2.609,4.688,0.496564922,1.137622776,192,100.0689285,0.505491361,0.12263269,0.321055251,0.096261821718669,115.702172955263,51.1542396368423,2.98735239846066,11.24,2.98,5.58,11.44,3.08,5.55,11.34,3.03,5.565
10SNlPNa,NlPNa,N,PN,0.915033,0.169233,0.602100333,0.771,1.686,0.238160896,0.618563459,120,53.25040278,0.336181827,0.036182139,0.199662706,-0.261824569167274,83.090215427471,32.7214388882619,3.10745580807169,10.74,2.11,4.74,10.9,1.76,4.98,10.82,1.935,4.86
11SNlPNa,NlPNa,N,PN,0.754199667,0.241699667,0.670600333,0.912,1.666,1.026996423,1.843727156,85.2,40.96177571,0.834538252,0.282491183,0.749761431,-0.305379142609795,85.4964034229169,41.1506792979937,2.07368285096832,9.5,1.76,4.77,9.59,1.7,4.71,9.545,1.73,4.74
12SNlPNa,NlPNa,N,PN,0.518133,0.297166333,0.645767,0.943,1.461,0.70251948,1.136369463,102.3,54.29945356,0.403147208,0.201882322,0.489715771,-0.217951990524607,91.1833085629906,46.6234778478124,2.08331279019002,10.08,2.08,4.93,9.79,2.11,5.04,9.935,2.095,4.985
13SNlPNa,NlPNa,N,PN,1.545099667,0.569766333,1.412233667,1.982,3.527,1.461311484,2.719113546,107.6,51.42277559,1.191617419,0.381835257,1.060570393,-0.169839668181974,95.6222600370957,43.9796423855348,2.31985777566119,9.98,2.07,4.92,9.91,1.91,5.01,9.945,1.99,4.965
14SNlPNa,NlPNa,N,PN,2.971699667,1.007866333,1.694700333,2.703,5.674,2.110245205,4.593252055,142.7,68.68501155,2.406382027,0.728136935,1.342990469,0.125706759946109,128.913454724739,60.0345427509312,2.27057495778202,9.77,2.69,4.99,10.01,2.71,4.84,9.89,2.7,4.915
15SNlPNa,NlPNa,N,PN,0.717233,0.457533,0.942300333,1.4,2.117,1.462054521,2.196838554,111.3,54.5286489,0.744243409,0.484348415,0.981493268,-0.055572921963092,109.298046181041,53.233020802455,2.07377381771117,9.67,2.32,4.85,9.56,2.2,4.74,9.615,2.26,4.795
16SNlPNa,NlPNa,N,PN,1.630899667,1.174433,1.877000333,3.051,4.682,1.706322682,2.851075313,139.8,74.91540544,0.993817572,0.547511074,1.087240414,0.028084579578005,114.769438408367,57.6839803380132,2.21736208060456,10.24,2.83,5.08,10.19,2.72,5.02,10.215,2.775,5.05
17SNlPNa,NlPNa,N,PN,0.565526667,0.488933,0.857767,1.347,1.912,1.237743054,1.778813918,108.7,56.22583106,0.526186499,0.437527091,0.792229361,-0.108782986156105,102.897739959931,52.2844581630482,2.02824250639266,9.66,2.26,4.92,9.81,2.24,4.89,9.735,2.25,4.905
